,역명,이름,주소,전화번호,위도,경도,링크
0,가산디지털단지,진한약국,서울 금천구 가산동 43-1,02-855-2728,37.48182817618732,126.88317395159812,http://place.map.kakao.com/13508943
1,가산디지털단지,봄빛약국,서울 금천구 가산동 371-41,02-6244-8275,37.48065011931704,126.88092927576231,http://place.map.kakao.com/1871375876
2,가산디지털단지,프라자약국,서울 금천구 가산동 371-28,02-2026-0011,37.48043949966569,126.88204325168243,http://place.map.kakao.com/11266628
3,가산디지털단지,대명약국,서울 금천구 가산동 50-3,02-866-2728,37.48139894118442,126.88372749071958,http://place.map.kakao.com/13504854
4,가산디지털단지,중앙메디칼약국,서울 금천구 가산동 459-11,02-863-1012,37.4819842234389,126.881537695702,http://place.map.kakao.com/13509576
5,가산디지털단지,가디온누리약국,서울 금천구 가산동 371-41,02-6674-5544,37.48071114372704,126.88068722950004,http://place.map.kakao.com/1138432504
6,가산디지털단지,리더스약국,서울 금천구 가산동 60-15,02-835-1157,37.48034702225,126.884194927608,http://place.map.kakao.com/13110060
7,청량리,삼화약국,서울 동대문구 청량리동 264,02-962-5324,37.5808673572996,127.045810031901,http://place.map.kakao.com/11254801
8,청량리,청량리중앙약국,서울 동대문구 전농동 591-53,02-3707-1588,37.58055638748145,127.04838653158087,http://place.map.kakao.com/16080108
9,청량리,바다약국,서울 동대문구 청량리동 758,02-957-1110,37.5800535076229,127.04410684607099,http://place.map.kakao.com/114600634
10,청량리,성모약국,서울 동대문구 청량리동 750,02-960-7784,37.580226338576985,127.04453262080796,http://place.map.kakao.com/746864543
11,청량리,다나은약국,서울 동대문구 청량리동 744,02-960-1005,37.58070924589926,127.04459970326552,http://place.map.kakao.com/1391830775
12,청량리,바오로약국,서울 동대문구 청량리동 235-4,02-967-3761,37.582081341399004,127.04721915360099,http://place.map.kakao.com/9005986
13,청량리,동산약국,서울 동대문구 청량리동 235-4,02-963-5500,37.58251907087243,127.0476009623132,http://place.map.kakao.com/13512316
14,청량리,신우약국,서울 동대문구 청량리동 743-1,02-961-8833,37.5808569277963,127.044813761664,http://place.map.kakao.com/13500672
15,청량리,정화약국,서울 동대문구 청량리동 742,02-967-9941,37.58098578962159,127.04476176138378,http://place.map.kakao.com/10719232
16,종로5가,보령약국,서울 종로구 종로5가 124-4,02-763-8181,37.57114280202421,127.00034525116823,http://place.map.kakao.com/11058267
17,종로5가,온유약국,서울 종로구 종로5가 102,02-745-5487,37.5711238801615,127.000588624794,http://place.map.kakao.com/332392090
18,종로5가,종로백제약국,서울 종로구 종로5가 36-1,02-745-8495,37.571260765356705,127.00399360013901,http://place.map.kakao.com/8519376
19,종로5가,종로5가백화점약국,서울 종로구 종로5가 214-1,02-2264-1161,37.570759820008895,127.00374906889799,http://place.map.kakao.com/10398617
20,종로5가,종로약국,서울 종로구 종로4가 8,02-745-3184,37.5711166716871,126.99931628972901,http://place.map.kakao.com/8520072
21,종로5가,열린약국,서울 종로구 종로4가 185,02-2264-8210,37.5706914035499,127.00028525498101,http://place.map.kakao.com/9885727
22,종로5가,우정약국,서울 종로구 종로4가 177,02-2277-8566,37.57057607643002,126.99987774805365,http://place.map.kakao.com/11430032
23,종로5가,종로중앙약국,서울 종로구 종로5가 85-5,02-744-7233,37.5713103744519,127.00176474681001,http://place.map.kakao.com/63697816
24,종로5가,종근당약국,서울 종로구 종로5가 193-20,02-2274-1311,37.570770645841705,127.00328269969101,http://place.map.kakao.com/10804754
25,종로5가,종오약국,서울 종로구 종로4가 7,02-763-7771,37.57112838537553,126.99946118188723,http://place.map.kakao.com/10000643
26,종로5가,종로5가미래약국,서울 종로구 종로5가 91,02-766-5466,37.57118964755884,127.00125988456035,http://place.map.kakao.com/10803639
27,종로5가,종로우리약국,서울 종로구 종로4가 182,02-2275-4700,37.57068689890154,127.0000622580279,http://place.map.kakao.com/11232289
28,종로5가,백수약국,서울 종로구 종로5가 42-1,02-766-1083,37.5712499601309,127.003789844482,http://place.map.kakao.com/7886554
29,종로5가,김해약국,서울 종로구 종로5가 138-8,02-2267-1551,37.5706950061002,127.00064748356002,http://place.map.kakao.com/8241050
30,종로5가,부광약국,서울 종로구 종로5가 62-1,02-762-8844,37.57122476426219,127.00260919611405,http://place.map.kakao.com/11055358
31,종로5가,유한약국,서울 종로구 종로5가 193-1,02-2272-4746,37.570781454453105,127.003400424585,http://place.map.kakao.com/23882825
32,종로5가,유성약국,서울 종로구 종로5가 182-4,02-2263-9666,37.57072381870739,127.00222770653387,http://place.map.kakao.com/8536536
33,종로5가,종로백세약국,서울 종로구 종로5가 76,02-744-2536,37.57125450319819,127.00231714818622,http://place.map.kakao.com/18478070
34,종로5가,신백제약국,서울 종로구 종로5가 20-1,02-745-8492,37.571312989347575,127.00489012603303,http://place.map.kakao.com/1846981664
35,종로5가,동서약국,서울 종로구 종로5가 182-3,02-2278-2140,37.5707562519876,127.00235901546199,http://place.map.kakao.com/9089631
36,종로5가,동아약국,서울 종로구 종로4가 149-1,02-2285-5702,37.570590488589396,126.999049151345,http://place.map.kakao.com/8269506
37,종로5가,보배종로약국,서울 종로구 종로5가 193-4,02-2276-1773,37.570772456134655,127.00296914534442,http://place.map.kakao.com/655612260
38,종로5가,종로오가약국,서울 종로구 종로5가 88-7,02-763-8855,37.571185139444104,127.00152589783,http://place.map.kakao.com/713595294
39,종로5가,엄마약국,서울 종로구 종로4가 9-6,02-765-6564,37.57104909609119,126.99916800232552,http://place.map.kakao.com/182325722
40,종로5가,보생약국,서울 종로구 종로4가 6-3,02-763-7876,37.571066217404535,126.99964682539611,http://place.map.kakao.com/8366257
41,종로5가,일신약국,서울 종로구 종로5가 182-2,02-2264-7885,37.570781476967774,127.00249937998909,http://place.map.kakao.com/1969959970
42,종로5가,공생약국,서울 종로구 종로5가 193-17,02-2277-1366,37.5707670475861,127.003069890046,http://place.map.kakao.com/8743513
43,종로5가,새동서약국,서울 종로구 종로5가 138-19,02-2285-1055,37.5704499250491,127.00169001711159,http://place.map.kakao.com/27403009
44,종로5가,동시약국,서울 종로구 종로4가 165-1,02-2268-4055,37.57062743298535,127.00023884424436,http://place.map.kakao.com/10294918
45,종로5가,엄약국,서울 종로구 종로5가 52-1,02-763-0380,37.571249983023705,127.00299293572701,http://place.map.kakao.com/25503076
46,종로5가,광장약국,서울 종로구 종로4가 9-2,02-2272-0380,37.57106981937483,126.99922573256191,http://place.map.kakao.com/10152545
47,종로5가,인제약국,서울 종로구 종로4가 153-1,02-2266-4312,37.5706337372864,126.999171402836,http://place.map.kakao.com/10735458
48,종로5가,새종로약국,서울 종로구 종로4가 2-16,02-3672-8558,37.57109414877518,126.9999501933065,http://place.map.kakao.com/11652830
49,종로5가,종로시장약국,서울 종로구 종로5가 43-1,02-764-8887,37.57123915289032,127.00364042356459,http://place.map.kakao.com/58565603
50,종로5가,종로태양약국,서울 종로구 종로4가 10,02-766-1777,37.5710770256733,126.999003866358,http://place.map.kakao.com/39208948
51,종로5가,종로삼성약국,서울 종로구 종로5가 231-1,02-2285-5631,37.570779598886396,127.004920654229,http://place.map.kakao.com/2034079807
52,종로5가,금송약국,서울 종로구 종로5가 193-5,02-2275-5982,37.570777865308706,127.002838969524,http://place.map.kakao.com/349993822
53,종각,종로엔약국,서울 종로구 종로2가 8-4,02-739-9856,37.5704885807391,126.984632495583,http://place.map.kakao.com/733425349
54,종각,송송약국,서울 종로구 청진동 146,02-733-4425,37.57083385488068,126.97991665281309,http://place.map.kakao.com/997573583
55,종각,광교약국,서울 종로구 관철동 287,02-734-4690,37.569086425333865,126.98312051194254,http://place.map.kakao.com/13509935
56,종각,제일약국,서울 종로구 청진동 41-2,02-739-3447,37.5720954731464,126.981286016426,http://place.map.kakao.com/18650613
57,종각,수약국,서울 종로구 청진동 70,02-778-5985,37.57074400827586,126.9814629411162,http://place.map.kakao.com/12125570
58,종각,대도약국,서울 종로구 견지동 109,02-737-4510,37.572475086246364,126.98324426620424,http://place.map.kakao.com/1454897546
59,종각,종각팜약국,서울 종로구 종로2가 84-8,02-738-6500,37.5698939646347,126.98494956434999,http://place.map.kakao.com/150968564
60,종각,하나약국,서울 중구 무교동 1,02-755-5155,37.568765108459424,126.97956178067345,http://place.map.kakao.com/10859987
61,종각,힐링약국,서울 종로구 청진동 136,02-723-6593,37.5710321661356,126.98046673666799,http://place.map.kakao.com/943018389
62,종각,바로약국,서울 종로구 청진동 70,02-2158-7900,37.5709602435767,126.981440248159,http://place.map.kakao.com/26302971
63,종각,따뜻한약국,서울 종로구 청진동 146,02-2075-7333,37.5706068013799,126.97990086629999,http://place.map.kakao.com/27531143
64,종각,참약국,서울 종로구 종로1가 24,02-737-4855,37.570844667978704,126.97992344170869,http://place.map.kakao.com/13513378
65,종각,인앤아웃약국,서울 종로구 청진동 146,02-2075-7505,37.570844667978704,126.979923441709,http://place.map.kakao.com/19120470
66,종각,푸른소나무약국,서울 종로구 수송동 58,02-2198-5333,37.5724523471755,126.981797586992,http://place.map.kakao.com/16526798
67,종각,대박약국,서울 종로구 청진동 146,02-2075-7171,37.570844667978704,126.979923441709,http://place.map.kakao.com/27255107
